0ad a20-5
xloadimage 4.1-13
xmonad 0.12-3
xmonad-contrib 0.12-2
xorg-server 1.18.3-1
xorg-server-utils 7.6-4
xorg-twm 1.0.9-1
xorg-xclock 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xprop 1.2.2-1
xorg-xwininfo 1.1.3-1
xterm 324-2
yajl 2.1.0-1
youtube-dl 2016.05.10-1
zsh 5.2-1
zzuf 0.13.svn20100215-1
